	F0	F1	F2
1525	3	3	2
1526	2	4	3
1527	61	56	46
1528	64	63	41
1529	2	0	2
1530	87	85	53
1531	91	96	76
1532	17	7	7
1533	25	22	15
1534	12	16	5
1535	134	126	131
1536	26	22	23
1537	0	1	0
1538	14	23	17
1539	51	64	52
1540	70	69	50
1541	75	65	55
1542	2	1	3
1543	0	1	0
1544	179	196	162
1545	465	476	429
1546	0	1	0
1547	42	34	48
1548	0	0	0
1549	0	0	0
1550	183	158	188
1551	120	95	92
1552	79	75	73
1553	4	6	6
1554	18	15	11
1555	33	42	40
1556	44	44	45
1557	1	0	1
1558	0	0	0
1559	16	13	15
1560	53	31	21
1561	32	30	28
1562	20	27	29
1563	28	30	40
1564	1	0	0
1565	54	49	45
1566	167	182	138
1567	19	20	28
1568	0	0	0
1569	62	64	60
1570	50	43	42
1571	2	2	4
1572	31	37	38
1573	86	96	91
1574	1	1	2
1575	4	6	1
1576	5	4	5
1577	158	172	140
1578	52	47	54
1579	23	19	26
1580	234	217	250
1581	37	29	27
1582	0	0	0
1583	37	55	44
1584	244	225	215
1585	23	25	19
1586	9	12	9
1587	0	0	0
1588	1095	1162	1129
1589	3	1	0
1590	0	0	0
1591	2	7	2
1592	10	9	10
1593	0	1	2
1594	0	0	0
1595	6	8	5
1596	8	7	6
1597	5	16	10
1598	6	3	3
1599	3	1	0
1600	22	23	19
1601	16	21	26
1602	16	8	11
1603	44	42	32
1604	100	100	78
1605	18	21	15
1606	36	24	37
1607	1	1	0
1608	139	157	147
1609	109	81	86
1610	0	0	0
1611	0	0	0
1612	1	5	3
1613	3	11	14
1614	5	10	5
1615	51	67	83
1616	18	12	9
1617	0	0	0
1618	26	39	17
1619	15	20	18
1620	17	14	11
1621	36	27	28
1622	1	3	7
1623	0	1	0
1624	0	0	0
1625	112	124	129
1626	8	13	7
1627	0	1	0
1628	10	6	3
1629	452	454	462
1630	10	19	14
1631	35	42	50
1632	83	80	83
1633	18	18	18
1634	12	15	9
1635	8	7	13
1636	1	1	2
1637	26	27	22
1638	50	57	46
1639	3	8	3
1640	43	40	43
1641	24	30	20
1642	905	859	984
1643	0	1	3
1644	0	0	2
1645	5	0	9
1646	32	30	27
1647	3	1	4
1648	100	75	87
1649	1	0	2
1650	1157	1181	1035
1651	20	20	22
1652	0	1	1
1653	26	31	31
1654	19	23	23
1655	184	149	152
1656	0	1	3
1657	5	6	5
1658	70	66	82
1659	57	66	76
1660	0	0	0
