gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ASR2	4250.48056083805	2.98678871159459	0.152302194990922	19.6109367417365	1.24713723156733e-85	2.41542320591299E-83
CAALFM_C104910CA	758.596976630682	-2.98036570058453	0.153970485508268	-19.3567337970399	1.78873384128707e-83	3.35611186971486E-81
CSP37	8178.61292010348	1.51253295994006	0.0783033119756969	19.316334415197	3.91482368336177e-83	7.12260648330427E-81
IDP2	2028.99286239487	-2.1440178558287	0.111207926536938	-19.2793618458174	8.00580624232809e-83	1.41373119643935E-80
ARO10	7664.19637606768	1.28478425199061	0.0690629653955102	18.6030855268508	3.03335366048431e-77	5.20350153644223E-75
FTR1	11054.1752527466	-1.58667325820682	0.0854084305067971	-18.5774782277559	4.88947693886445e-77	8.07432947259448E-75
PCK1	3717.03797546863	-1.44116546672721	0.0775798721837607	-18.5765382973766	4.97585260636235e-77	8.07432947259448E-75
SAM4	10285.7538930326	-1.63404193464424	0.0891391099052136	-18.3313692091138	4.65049795676192e-75	7.34778677168384E-73
SEO1	1347.64253319034	-2.53768754645046	0.139363511484093	-18.2091246082022	4.36876204489475e-74	6.72565315834566E-72
CSH1	797.026064267155	-2.51481255537019	0.141280640988444	-17.8001213596977	7.05159028809895e-71	1.05844370224365E-68
CAALFM_C207270WA	721.012087804096	-2.15980671685175	0.122953847520418	-17.565995374753	4.48753426298247e-69	6.57150139388945E-67
CAALFM_C300030CA	6285.04268200377	-1.46808771181434	0.0850486424638728	-17.2617418606999	9.13143521806784e-67	1.30536040593522E-64
ALS1	3524.57791642128	-2.98683406322344	0.174308129681652	-17.1353686639771	8.08389053896563e-66	1.12873671618488E-63
PHO84	14287.9833980717	-2.07245789881027	0.122212517608186	-16.957820191992	1.68479678521397e-64	2.29898179509652E-62
CAALFM_CR09050CA	315.759207382051	-7.62501947142066	0.452791638075067	-16.8400183003303	1.24198080319782e-63	1.65707838719994E-61
ATO2	2179.86096165198	-1.48919811458001	0.0911027209027007	-16.346362653323	4.6173213637035e-60	6.02660814514691E-58
CAALFM_C301820WA	1306.99573837334	1.65086305390745	0.101962406706663	16.1908992463943	5.84678334481516e-59	7.46895472388728E-57
LEU42	3692.95104373397	-1.21913737808421	0.0753567631456681	-16.1782078634078	7.18556614824473e-59	8.98794565709612E-57
CAALFM_C603520CA	602.223291665651	2.60432810233723	0.162361937813456	16.0402624987726	6.68711108401822e-58	8.19375815274395E-56
CAALFM_C201630WA	1198.88124464811	1.84258326206495	0.11557364954363	15.9429356894139	3.19008519775153e-57	3.83065430546004E-55
CAALFM_C109320CA	1303.59226918055	-1.8087267579741	0.113804036726362	-15.8933444718057	7.04655501517854e-57	8.29559143355528E-55
CAN2	960.749274391176	-2.07781867065665	0.132068720320147	-15.7328598749183	9.00502185664655e-56	1.03973367744819E-53
TEF1	20557.5634502642	-1.3680343337685	0.0882650030296118	-15.4991705297913	3.51399401355693e-54	3.98075850139544E-52
HIS5	2751.37638440086	-1.21285720490689	0.078684803439705	-15.4141225736973	1.31545370824767e-53	1.46258964154056E-51
IFE2	546.624140470069	-2.5916755699326	0.169056591913712	-15.3302248708256	4.8032089574568e-53	5.24335756010375E-51
LEU4	1917.10989030021	-1.68096811481963	0.109706269279816	-15.3224435199065	5.41431996810753e-53	5.80492448009243E-51
CAALFM_C702600CA	7004.14892470881	-7.26435444333475	0.474370565413538	-15.313670309628	6.19661874490581e-53	6.52710507796745E-51
CAALFM_C300010CA	1700.82410498931	-1.71363429625104	0.113102147676296	-15.151209163203	7.4385345750103e-52	7.70016579109687E-50
