gene_id	log2FoldChange.sc5314	log2FoldChange.plc124
BMT4	0.198505932048914	-0.164979964397045
BMT5	0.140799509124548	0.0385224588777951
BMT6	-0.031067048308302	-0.0834600778529174
BMT7	0.0501343528364042	0.127118156033928
BMT8	0.0779952657153635	-0.0743321671557872
BMT9	-0.160733596941743	-0.0653057880064956
BNA4	0.174902018682601	-0.0410505534679799
BNI1	-0.0420591965494421	-0.235098948591825
BNI4	-0.137834337089213	-0.150304742923802
BNR1	-0.245053058911836	-0.277882701638882
BOI2	-0.0803833214040263	-0.114637905055023
BPH1	0.0883826484448162	0.0877556017521256
BRE1	0.23116819033832	-0.117116985970176
BRF1	0.221176910214087	-0.142986287665662
BRG1	-0.799465983620955	-0.263809629167932
BRN1	0.204325418355206	-0.0761456627240106
BRO1	-0.5206567272622	0.0228587447861133
BTA1	-1.229185754532	0.250376411173674
BTS1	0.0453348166801356	0.330103916110179
BUB1	0.117119415922304	-0.0611454232002476
BUB2	-0.0358302586486727	0.106006393979925
BUB3	0.11861898495474	0.0739126618601154
BUD14	0.0212321266896942	-0.20220326469283
BUD16	0.296001565089506	0.466551064967404
BUD2	0.0880057592092562	0.0120031435692538
BUD20	-1.70077747783967	-0.790398799147856
BUD21	0.146309924518704	-0.120962688422563
BUD22	0.156431854764691	-0.069563977701016
BUD23	-0.0543877139265066	0.0532855454090026
BUD31	0.297001964136676	0.0482705470823484
BUD5	-0.0482342755649049	-0.123844819509001
BUD6	0.236588936111076	-0.0618959370985827
BUD7	0.0168461060589746	-0.0274310274870214
BUL1	-0.0249112826318191	0.423222186084443
BUL4	-0.197914580476909	-0.0692130873138513
BUR2	-0.11481923709871	-0.0757428041225508
BZZ1	-0.0243119632489399	-0.0355409039573372
CAALFM_C100020CA	0.461235613584066	-0.318690508707652
CAALFM_C100030CA	0.628296615879615	-0.850243125101615
CAALFM_C100090WA	-0.527033026725792	-0.189438732130056
CAALFM_C100100CA	-0.358049160471666	-0.0393101422003601
CAALFM_C100160CA	0.0221502869440418	-0.0807440088242102
