cds_id	plc124_fluc_rep01	plc124_fluc_rep02	plc124_fluc_rep03	plc124_ut_rep01	plc124_ut_rep02	plc124_ut_rep03
XP_718112.1	1787	1440	1663	1696	1838	1806
XP_718113.2	5444	3994	4706	5232	5912	4907
XP_718114.1	7498	5699	6632	6213	6938	5847
XP_718115.1	1708	1181	1808	1541	1597	1647
XP_718116.1	6117	4532	5467	5403	5891	5598
XP_718117.1	12288	7657	12096	10818	11728	13284
XP_718118.2	1400	1304	1440	1349	1470	1528
XP_718119.1	969	783	886	1070	1088	1053
XP_718120.1	1792	1660	1766	1766	1782	1911
XP_718121.1	9302	7742	8571	8811	9856	9060
XP_718123.1	12295	9852	11703	11806	12829	12393
XP_718124.1	1737	1287	1406	1779	2058	1473
XP_718125.1	1487	1256	1491	1631	1702	1420
XP_718126.1	3345	2631	3318	3249	3313	3437
XP_718127.2	4916	4461	4709	4624	4896	5549
XP_718128.2	2902	2375	2852	2983	3034	3071
XP_718129.1	138	90	86	128	127	98
XP_718130.1	1644	1160	1434	1342	1486	1541
XP_718131.1	1411	1150	1325	1389	1498	1400
XP_718132.1	521	408	416	600	689	316
XP_718133.1	74	47	43	76	73	41
XP_718134.1	221	163	207	232	221	194
XP_718135.2	5451	4514	5172	5359	5656	5822
XP_718137.1	327	359	351	363	426	429
XP_718138.2	1347	1016	1086	1216	1287	1231
XP_718140.2	173	180	160	145	187	178
XP_718141.2	1028	933	955	810	947	884
XP_718142.1	4239	3386	3892	3510	3943	3918
XP_718144.1	10014	7987	9968	9628	10339	10993
XP_718145.1	3059	1982	3020	2802	2675	3263
XP_718146.1	367	304	342	226	265	300
XP_718147.1	58426	39244	45314	52207	60543	42788
XP_718148.2	2995	2293	2588	3281	3655	2895
XP_019330609.1	28902	15523	30612	23796	23692	30787
XP_718150.2	3624	3378	3656	3433	3867	3900
XP_718151.2	1412	1058	1251	1542	1865	998
XP_718152.1	2504	1668	2347	2234	2362	2402
XP_718153.1	1787	1321	1636	1688	1748	2055
XP_019330610.1	11	15	9	25	17	8
XP_718154.2	7294	5807	6935	6846	7966	7355
XP_718155.2	3185	2583	3191	2796	3115	3450
XP_718156.2	6301	4861	5791	6013	6766	6395
XP_718157.1	170543	101927	164366	148128	160722	172332
XP_718158.1	11206	7367	11075	9352	10336	10543
XP_718161.2	161	147	166	213	245	86
XP_718163.1	6464	4179	5908	6151	6804	6184
XP_718164.2	19567	15697	19398	17834	18851	20687
XP_718165.1	1754	1454	1541	1622	1746	1638
XP_718167.1	1736	1190	1691	1486	1717	1582
XP_718168.2	10380	8033	9826	12047	13592	8963
XP_718170.1	1512	1266	1485	1314	1374	1607
XP_718171.1	3077	2328	3218	3038	2910	3922
XP_718172.1	29622	24505	29029	28441	31694	30490
XP_718173.2	4036	4274	4073	3884	4132	4719
XP_019330611.1	183	139	137	105	103	105
XP_718175.2	375	274	347	293	289	297
XP_718176.2	1216	1107	1221	1125	1303	1332
XP_019330612.1	13826	9466	13841	12356	13003	14300
XP_718178.1	1682	1354	1604	1627	1716	1698
XP_718179.2	2856	2722	2615	2886	3166	2786
XP_718180.1	3062	2575	2995	2908	3023	3428
XP_718181.1	25422	16050	21350	24370	25735	23383
XP_718182.2	4266	4683	4615	4728	5207	5648
XP_718183.1	1133	1040	1021	1256	1231	1242
XP_712976.1	95	69	66	83	94	68
XP_712975.2	680	628	672	626	733	669
XP_712974.2	971	749	987	835	1060	948
XP_712973.1	684	575	603	609	654	590
XP_712971.2	2010	1501	1958	1628	1772	1768
XP_019330613.1	3595	2371	2815	3871	4486	2444
XP_712969.1	1086	948	1057	1068	1237	1112
XP_712968.1	1396	943	1247	1172	1253	1227
XP_712967.1	1232	1207	1283	1147	1237	1352
XP_712965.1	1170	949	1095	1092	1285	1124
XP_712964.1	157	96	97	110	158	165
XP_712963.1	1029	801	957	940	978	1057
XP_712962.1	5798	4170	5735	5421	6065	6649
XP_712961.1	14833	11888	13471	12827	14210	13825
XP_712960.2	1572	1367	1565	1615	1769	1674
XP_712959.2	2440	2017	2619	2361	2719	2506
XP_712958.2	2101	1645	1902	1976	2338	1797
XP_712957.2	7404	5420	6616	6399	6853	6838
XP_712956.2	14656	13603	15070	14606	16201	16666
XP_019330614.1	525	407	508	440	530	414
XP_712954.1	1708	1572	1733	1700	1657	1721
XP_712953.1	791	571	842	663	756	710
XP_019330615.1	1	5	9	5	10	6
XP_712952.2	2988	2160	3161	2897	3405	2905
XP_712951.1	27	50	60	56	66	31
XP_712950.2	2455	1585	2091	2030	2288	2070
XP_019330616.1	656	647	732	646	759	619
XP_712948.1	505	465	517	518	576	526
XP_712947.1	619	392	511	534	607	459
XP_713755.2	1756	1516	1686	1732	1743	1684
XP_713757.1	2651	1927	2222	2507	2668	1961
XP_019330617.1	881	646	822	735	866	861
XP_713758.1	27	25	33	55	45	29
XP_713759.1	1210	1111	1287	1182	1226	1293
XP_713760.2	1301	1309	1278	1452	1409	1329
XP_713761.2	597	588	658	640	711	791
XP_713762.1	309	221	268	308	411	212
XP_713763.1	13770	12097	12214	11068	12462	10177
XP_713764.1	2116	1797	1896	1952	2037	2238
XP_713766.2	909	746	826	804	1004	979
XP_713767.1	372	237	347	253	339	348
XP_713768.1	278	199	276	311	281	265
XP_713769.2	2191	1965	2110	2121	2302	2283
XP_713770.1	1365	1299	1301	1323	1460	1363
XP_713771.2	263	241	208	280	235	230
XP_713772.2	3031	2705	2601	3204	3306	2590
XP_713773.1	748	640	722	609	682	641
XP_713774.1	4975	4963	4761	5314	5766	5128
XP_713775.1	6476	4674	4654	6277	7584	4135
XP_713776.1	938	886	789	840	829	699
XP_713777.2	2963	2737	3019	2849	3040	3051
XP_713778.2	172	140	162	181	202	148
XP_713779.2	1376	1414	1450	1631	1639	1578
XP_713780.2	1362	1356	1260	1426	1400	1393
XP_713781.1	452	567	462	464	573	486
XP_713782.1	694	561	583	538	610	659
XP_713784.2	3086	2851	2856	2854	3242	2795
XP_019330618.1	20933	15429	18423	16932	17356	18315
XP_713785.1	984	1048	984	1042	1061	1209
XP_713787.2	268	226	217	236	280	229
XP_713788.2	813	744	608	1070	1075	561
XP_721425.2	118	151	172	152	150	192
XP_721426.2	635	671	662	794	834	690
XP_721427.2	1112	1388	976	983	1138	943
XP_721428.2	2770	2656	2610	2552	2726	2785
XP_721429.2	115021	87281	104251	106948	118896	107009
XP_721430.2	11070	8713	9729	10669	12269	10365
XP_721432.2	939	857	926	832	1001	966
XP_721433.2	1808	2199	1629	1701	1764	1967
XP_721434.1	136513	89567	132823	121743	130237	143404
XP_721435.1	92	141	84	109	141	130
XP_721436.1	6500	5671	5826	5395	5983	5729
XP_721437.1	2627	3054	2457	2535	2907	2693
XP_721438.1	622	535	628	562	681	675
XP_721439.1	909	825	953	827	982	931
XP_721440.1	111	44	93	105	160	60
XP_721441.2	8147	6108	7836	6964	7451	7475
XP_721444.1	295	269	276	335	356	259
XP_721445.2	62	55	48	49	68	28
XP_721446.1	663	394	431	545	623	397
XP_721447.1	744	555	633	571	664	601
XP_721448.2	7168	6209	6994	6889	7953	7261
XP_721450.1	7133	5243	6306	6592	7304	6747
XP_721451.2	616	526	620	538	599	538
XP_721452.1	5903	4287	5687	4989	5656	6027
XP_721453.2	9347	6241	8967	7865	8474	9827
XP_721455.2	2422	1844	2417	2202	2382	2386
XP_721456.2	119	96	101	149	134	76
XP_721457.2	586	497	569	647	609	618
XP_721458.1	16	5	7	12	9	3
XP_019330619.1	937	593	831	731	808	890
XP_721459.2	19514	15471	18189	17674	19742	19282
XP_721460.1	1527	1325	1463	1340	1652	1708
XP_721461.1	188	183	186	221	275	213
XP_721462.1	332	339	389	319	330	380
XP_721463.2	9973	7642	9500	9754	10631	10361
XP_721464.1	8776	6098	9063	7922	8791	9676
XP_019330620.1	1245	868	1227	1125	1228	1351
XP_721465.1	3607	2609	3651	3277	3320	3775
XP_721466.1	16290	12057	16689	15061	16220	19162
XP_721467.2	58	43	29	48	75	45
XP_721468.1	2688	2280	2592	2604	2815	3176
XP_721469.2	13163	10423	12678	12376	13087	13409
XP_721470.2	1383	1341	1370	1342	1650	1541
XP_721471.2	1264	1095	1140	1309	1400	1181
XP_721472.2	2301	1611	2013	2378	2678	1896
XP_721473.1	1836	1951	1862	1565	1680	1801
XP_721474.1	1555	1161	1548	1334	1336	1389
XP_721476.1	5453	3700	5307	5437	5802	5633
XP_721477.1	381	270	406	365	341	396
XP_721479.2	2432	2175	2329	2373	2551	2903
XP_721480.1	693	683	729	746	775	680
XP_721481.2	2935	2388	2821	2864	3046	3261
XP_721482.2	2115	1632	2150	2174	2147	2452
XP_721483.1	1374	937	1375	1371	1600	1599
XP_721484.1	119	87	119	82	112	109
XP_721485.1	3632	2814	3663	3395	3647	3859
XP_721486.2	1169	976	1167	1046	1117	1215
XP_721487.1	977	756	948	775	800	1189
XP_721488.2	8738	6829	8643	6470	7415	8051
XP_721489.2	677	420	583	662	641	674
XP_721490.1	44910	26860	42128	38973	41389	39544
XP_721492.1	136175	90528	132250	121496	137083	151191
XP_019330621.1	61962	38980	49322	56775	63676	47052
XP_721493.2	742	564	695	667	727	891
XP_721494.2	2200	1794	2202	2262	2820	1954
XP_721496.1	3804	2885	4000	3471	3633	4389
XP_721498.2	3430	2960	3383	3690	4164	3484
XP_019330622.1	962	725	897	909	1018	1137
XP_721500.1	164599	113166	158221	142459	159130	166711
XP_019330623.1	13927	10085	12342	13595	15208	12339
XP_019330624.1	86466	63552	84013	75209	83935	88377
XP_721502.1	1314	1306	1242	1057	1413	1407
XP_721504.2	7681	6207	7483	7546	8343	7760
XP_721505.1	378	229	307	262	357	288
XP_019330625.1	2010	1655	2013	1906	1981	2292
XP_721506.2	1356	972	1134	805	714	1056
XP_721507.2	353	375	283	397	340	236
XP_721508.1	720	593	652	561	672	732
XP_019330626.1	78034	49969	70189	71517	78019	72250
XP_721510.2	2355	1712	2109	2850	3121	1877
XP_019330627.1	8137	7015	8138	7474	8143	9225
XP_721512.1	38726	24703	32574	36058	40613	31560
XP_721513.1	17132	13556	17106	16351	18602	17453
XP_721514.2	2024	1350	1943	1596	1802	1980
XP_721516.1	1125	974	1138	1179	1375	1322
XP_721517.2	1003	892	1122	1103	1148	1209
XP_019330628.1	190	131	174	137	176	160
XP_721520.1	7192	5291	7132	6613	7395	7997
XP_721521.1	2751	2356	2741	2449	2907	3222
XP_721524.2	5000	3685	4798	4546	4785	5550
XP_721525.2	3719	2870	3310	3549	3935	3357
XP_721527.1	470	410	415	509	435	447
XP_721528.1	652	557	624	590	686	698
XP_721529.1	3210	2408	2995	3023	3177	3357
XP_721532.1	24741	19484	24624	23399	25496	26305
XP_721533.2	12191	11368	13274	13073	15676	16448
XP_721535.1	106403	71876	99447	102441	111468	108207
XP_721536.1	8740	6635	8363	8532	8858	8988
XP_721538.2	2921	2537	2966	2720	3149	3366
XP_721539.2	2215	1807	2228	2210	2459	2393
XP_721540.2	445	534	524	552	621	556
XP_721541.1	1330	985	1369	1423	1583	1268
XP_721543.1	4073	2938	3599	3545	3927	3761
XP_721545.2	4151	3850	4211	3940	4307	4594
XP_721546.2	2040	1497	1595	2400	2735	1616
XP_721547.2	55	38	58	74	100	65
XP_721548.2	2680	2705	2960	2591	3079	3193
XP_721549.1	2498	1802	2460	2153	2559	2560
XP_721550.1	6702	5277	6709	6043	6726	7255
XP_721551.2	4110	2647	3531	3406	3752	3374
XP_721552.2	9339	7475	8885	8277	8910	9360
XP_019330629.1	2226	1885	2116	2148	2248	2173
XP_721555.2	814	520	765	692	827	774
XP_721556.1	5783	4070	5557	4885	4748	5440
XP_721557.1	8285	5930	8183	7102	7528	9045
XP_019330630.1	11	9	8	11	17	18
XP_721558.1	4060	3167	3982	3712	4295	3963
XP_721559.1	897	587	895	786	805	946
XP_019330631.1	5289	3907	5132	4609	4550	5166
XP_721560.2	2786	2379	2610	2706	3157	2687
XP_721561.1	1257	776	1297	1042	1184	1457
XP_721562.1	3508	2938	3510	3508	3707	4219
XP_019330632.1	404	255	363	308	299	415
XP_721563.2	1942	1356	1904	1651	1703	1882
XP_721564.1	15984	9726	11606	15081	16398	9811
XP_709975.2	3874	2745	3145	3639	3861	2391
XP_710184.2	3304	2350	2698	3894	4769	2341
XP_710182.2	1634	1358	1691	1574	1667	1617
XP_713641.2	3854	3031	3658	3603	3885	4037
XP_713640.2	2795	2039	2374	3032	3155	2374
XP_713639.1	452	371	371	403	293	420
XP_713638.1	1922	1663	1841	1518	1718	1910
XP_019330633.1	1293	880	969	1327	1534	907
XP_713636.2	27581	20072	24238	22350	24825	20916
XP_713635.1	22666	21837	23510	20758	23607	23344
XP_713634.1	755	823	650	637	748	576
XP_713633.2	832	809	716	808	877	764
XP_713632.2	198	157	151	258	301	186
XP_713631.2	1922	1703	1754	1700	1757	1957
XP_019330634.1	189	212	216	221	259	290
XP_711953.2	4957	4220	3964	5369	6031	4313
XP_711954.2	712	562	622	615	606	560
XP_711956.2	8	12	8	19	18	11
XP_442675.2	44	43	50	49	77	50
XP_711958.2	348	294	284	273	293	284
XP_711959.2	968	1012	924	931	968	1129
XP_711960.2	446	339	395	450	523	409
XP_711961.2	1053	1031	1031	1196	1265	1215
XP_711962.2	5878	5569	5859	5466	5341	6468
XP_711964.2	123	114	129	125	149	106
XP_711965.2	1659	1767	1577	1776	2106	1750
XP_711967.2	205	267	188	191	209	197
XP_711968.2	548	578	510	427	518	442
XP_711969.1	1122	1451	1039	1087	1159	1210
XP_710017.2	1037	654	830	831	964	836
XP_711971.1	326	187	324	235	303	299
XP_711972.2	1447	1326	1482	1356	1508	1482
XP_711973.2	6708	6192	6306	6076	6840	6601
XP_711975.1	10	11	7	19	12	0
XP_713643.2	137	172	135	166	163	157
XP_019330635.1	369	394	339	340	380	374
XP_713645.1	378	352	376	344	360	379
XP_713646.2	743	666	669	661	727	725
XP_713647.1	33787	23292	26656	29815	33889	27374
XP_713648.2	484	410	407	449	530	472
XP_713650.1	874	971	955	858	906	1098
XP_713651.2	9784	10845	9806	9619	10975	11089
XP_713652.2	311	266	298	250	317	306
XP_713653.1	223	195	174	224	247	201
XP_713654.2	218	214	210	199	225	195
XP_713655.1	30823	20317	29253	26879	29837	30840
XP_713656.1	20777	14934	19088	18240	21237	19770
XP_713657.2	1079	974	943	977	1127	1040
XP_713658.2	1419	1394	1025	1228	1566	1033
XP_019330636.1	6240	5733	5667	5867	6461	6923
XP_713661.1	596	399	572	541	611	553
XP_019330637.1	2513	2366	2567	2310	2793	2921
XP_713663.1	27311	18422	25590	25897	27587	28374
XP_713665.1	49854	29526	50105	43088	50222	51050
XP_713666.2	54	48	37	51	61	39
XP_713667.1	255	294	282	215	219	199
XP_019330638.1	58087	42571	54036	56671	58838	59018
XP_713669.2	151039	98893	127526	142188	160075	125341
XP_713670.1	116	125	115	129	129	129
XP_713671.1	596	566	546	545	634	614
XP_713673.1	4463	3386	3933	3635	3991	3900
XP_713674.2	444	350	498	432	378	406
XP_710411.2	538	335	469	490	607	450
XP_019330639.1	4935	3429	5306	4402	4634	6021
XP_710409.1	4744	4294	4821	4709	5546	5200
XP_710408.1	3585	2798	3223	3205	3441	3274
XP_710406.2	7526	8426	8366	7825	9013	10516
XP_019330640.1	49649	35134	47476	43876	48441	51459
XP_710404.1	1802	1234	1681	1615	1558	2075
XP_710403.1	4400	3018	4005	4083	4523	4498
XP_019330641.1	147	97	185	151	170	163
XP_710402.1	0	1	0	2	0	2
XP_019330642.1	11668	7166	11109	10180	10519	11488
XP_712226.1	241	177	255	188	210	199
XP_712228.1	428	360	496	262	341	386
XP_712230.2	1894	1411	1626	1880	2024	1627
XP_712231.2	3085	3094	3272	3395	3729	4608
XP_712232.1	443	268	404	450	413	474
XP_712233.1	1108	1031	993	1082	1147	1088
XP_019330643.1	2664	2003	2757	2568	2725	3032
XP_712235.2	3166	2511	3098	2720	3165	3048
XP_712236.2	2843	2588	2689	2685	2985	2911
XP_712237.1	371	242	367	295	316	352
XP_712238.1	611	525	606	529	688	574
XP_712239.2	513	533	553	504	562	588
XP_712240.1	577	473	605	344	379	385
XP_019330644.1	964	740	873	334	323	343
XP_712241.2	6088	4518	5578	5992	6483	5076
XP_019330645.1	183483	108108	167597	171003	183194	169536
XP_712243.1	4170	3991	4186	4039	4337	4798
XP_713593.2	3296	2720	3228	3089	3460	3379
XP_713592.2	2254	1954	2236	2185	2488	2354
XP_713591.2	91	86	104	105	111	70
XP_713590.2	3713	2918	3721	3106	3385	2785
XP_713589.1	2243	2061	2018	2123	2154	2486
XP_713588.2	46968	30854	39050	36210	41802	23239
XP_713586.2	49	33	55	51	59	34
XP_713585.2	834	816	908	610	719	639
XP_713583.2	1771	1720	1862	1646	1979	1938
XP_019330646.1	162	115	84	159	165	58
XP_713582.1	7898	5624	7798	6801	7103	7713
XP_713581.2	324	305	291	296	238	236
XP_713579.2	285	214	303	188	235	214
XP_713578.2	3138	2899	2963	2323	2532	2251
XP_713577.1	9776	8340	8432	3634	3881	3235
XP_713575.2	3276	2867	2914	2568	2905	2473
XP_713573.1	1609	1090	1375	1167	1256	1306
XP_713572.2	71	58	62	70	90	33
XP_713571.2	2344	1481	2077	2309	2667	2019
XP_713570.1	888	738	775	883	858	819
XP_713569.2	16785	12888	14627	16108	17918	14222
XP_713568.1	522	440	507	501	475	458
XP_713567.1	4944	4689	4786	4750	5260	4909
XP_713566.2	784	625	716	711	857	687
XP_713565.1	1284	1023	1236	1306	1461	1423
XP_713564.2	25248	18701	22282	23827	24869	22080
XP_713563.2	1046	1024	1032	969	1084	1093
XP_713562.2	185	170	168	198	242	172
XP_713561.1	29	23	14	17	25	19
XP_713560.1	32	23	38	26	54	11
XP_713559.2	4036	3768	3498	4173	4550	3722
XP_710861.2	1072	1194	1018	1043	1055	1269
XP_710862.2	18478	18623	17525	19039	20440	19376
XP_710863.2	3137	2356	2964	2907	3009	3225
XP_710864.2	1494	1454	1767	1470	1689	2144
XP_710865.2	5075	4763	4820	5011	5688	5305
XP_710866.2	478	540	514	484	462	467
XP_710867.2	799	753	795	795	865	767
XP_019330647.1	538	480	484	529	451	535
XP_710869.2	7407	6309	7256	6744	7550	7478
XP_710870.2	2993	3548	3595	3375	3539	4209
XP_710733.2	3656	3046	3408	3598	3760	3410
XP_710732.2	410	378	405	429	440	395
XP_710731.2	1450	1176	1478	1263	1370	1766
XP_710730.2	421	393	380	451	419	381
XP_710729.1	24206	17570	23385	22682	23285	25781
XP_710728.2	635	618	574	623	644	671
XP_710725.2	130	92	93	165	150	89
XP_715884.2	3	13	16	17	3	6
XP_715883.1	493	468	536	536	602	480
XP_715882.2	4990	4377	5491	4881	5634	5747
XP_019330648.1	1245	968	1047	1119	1137	1005
XP_019330649.1	1966	1722	1892	1659	1747	1958
XP_715881.2	260	168	182	284	277	160
XP_715880.2	4242	3855	4380	4250	4553	4995
XP_715879.1	329	307	379	279	328	381
XP_715878.1	820	727	780	710	714	702
XP_715876.1	5544	4049	5454	5389	5576	6119
XP_715877.1	0	0	0	0	0	0
XP_715875.1	3372	2350	3230	3221	3340	3615
XP_715874.1	3131	3054	3530	2936	3188	4653
XP_715873.2	1305	1011	1077	1105	1281	1230
XP_715872.1	33919	26003	33100	31296	33301	34749
XP_715869.1	4495	3624	4274	3932	4700	4565
XP_715868.2	938	726	837	815	942	861
XP_715867.2	966	805	1040	845	981	1018
XP_715866.2	3695	2956	3532	3425	3774	3690
XP_715865.1	392	333	438	377	466	410
XP_715864.1	4214	3639	4065	3947	3954	4607
XP_715863.2	1073	869	1013	1143	1190	1125
XP_715862.2	5223	4539	5239	4992	5714	5748
XP_715861.2	3045	2747	3027	3023	3190	2941
XP_715860.1	677	544	574	651	678	770
XP_715859.1	2299	1438	2124	1814	1891	2133
XP_715858.1	1410	1047	1313	1229	1432	1314
XP_715857.2	729	554	749	831	1056	633
XP_715854.2	94	83	84	91	131	67
XP_715855.1	0	0	0	0	0	0
XP_715853.1	5154	3775	4249	5251	5923	3857
XP_715852.2	3046	2373	2714	2586	2685	2599
XP_715851.1	147	104	112	131	172	84
XP_715850.1	3547	2469	3188	3269	3541	3369
XP_715849.1	2574	3016	2751	2809	3091	3330
XP_019330650.1	240	287	210	233	239	187
XP_715848.2	371	348	360	413	519	269
XP_019330651.1	5818	5294	5032	5317	5613	4862
XP_715846.2	375	410	364	353	366	488
XP_019330652.1	3820	2961	3568	3217	3505	3778
XP_718514.2	1110	908	946	1053	1087	927
XP_718513.2	2222	1850	2044	2000	2380	2312
XP_718511.1	398	323	354	373	406	391
XP_718510.2	75626	57605	69536	70221	77452	69472
XP_718509.1	1732	1633	1781	1698	1873	1912
XP_718508.1	1108	883	1034	888	1052	1164
XP_718506.2	21552	17785	19612	20436	23088	20334
XP_718505.1	3523	2853	3484	3181	3534	3757
XP_718504.1	3727	2026	3485	2856	3075	3646
XP_718502.1	28	31	49	43	61	20
XP_019330653.1	605	443	565	533	578	600
XP_718500.1	197	169	234	238	228	198
XP_019330654.1	104042	70856	93237	94757	106756	106645
XP_718499.2	526	488	474	492	586	553
XP_718497.2	5701	5631	5805	5525	6418	6480
XP_718496.2	263	212	291	361	393	265
XP_718495.2	1474	1120	1342	1404	1344	1332
XP_718494.1	4470	3635	4244	4233	4752	4543
XP_019330655.1	910	555	928	835	783	934
XP_718493.1	486	418	528	515	462	540
XP_718492.1	1790	1401	1597	1485	1477	1784
XP_718490.1	333	204	252	240	309	299
XP_718489.1	30	41	25	23	25	19
XP_718488.2	431	340	447	429	471	472
XP_718487.2	2220	1930	2320	2373	2566	2923
XP_718485.1	240	205	243	250	269	200
XP_718484.2	48	68	37	51	34	37
XP_718483.1	1065	917	1149	1067	1251	1297
XP_718482.2	30	51	24	58	43	13
XP_718481.2	3156	2554	2951	3404	3677	2912
XP_718480.2	1198	1068	1201	1102	1200	1288
XP_718479.2	91	111	80	89	98	61
XP_718477.2	1127	1092	995	1256	1283	961
XP_718476.1	6906	6225	6054	6437	7095	6318
XP_718474.1	2026	1810	1969	1606	1693	1490
XP_718473.2	2426	1671	1993	1182	1310	1087
XP_718472.1	60	65	72	54	83	39
XP_718470.1	1414	1336	1361	1463	1745	1508
XP_718469.1	416	397	363	439	412	422
XP_718468.2	58	77	71	93	125	36
XP_718467.1	1541	1388	1565	1383	1366	1392
XP_718466.2	2318	2135	2075	1943	2160	1977
XP_718465.1	262	286	265	318	290	255
XP_718464.2	1054	1118	1066	1042	1004	1081
XP_019330656.1	5727	3818	5456	4842	4740	5333
XP_718462.2	2955	2699	2840	2720	3067	2989
XP_718461.1	2992	2424	2797	2573	2721	3104
XP_718460.1	1732	1801	1542	1571	1687	1528
XP_718459.2	4302	3564	3625	4276	4941	3888
XP_718458.1	51688	45469	48785	47700	52492	50555
XP_718457.1	2140	2074	2159	2196	2240	2188
XP_718456.1	101	116	108	123	161	88
XP_019330657.1	2201	2028	2044	2274	2595	2134
XP_718453.2	7	7	19	22	10	12
XP_718452.1	37	25	21	35	28	19
XP_710010.2	290	356	305	347	399	319
XP_710009.2	0	0	0	0	0	0
XP_710103.2	1910	1649	1731	1707	1728	1723
XP_710879.1	506	568	458	371	382	450
XP_710878.2	31	57	49	48	45	18
